"seq_dict_md","arbr_gen_dict_md","cle_dict_md","acr_dict_md","arbr_simpl_dic_md","abr_feuil_dict_md","def_dict_md","stat_dict_md","mot_cle_dict_md","seq_dict_md_pere","arbr_gen_pere_dict_md","id_ty_md","seq_dom","seq_dict_md_prop","acr_sn_md","acron_mot_dict","verr_dict_md","det_equiv_dict_md","det_categ_dict_md","det_mc_dict_md","det_fils_dict_md"
2101,"MPO.SLCA","MPO.SLCA","SLCA","MPO.SLCA","MPO.SLCA","Contenu en silicate de l'eau de mer.  unités: 'mmol/m**3'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","SLCA",NULL,0,3,3,0
2102,"MPO.AMON","MPO.AMON","AMON","MPO.AMON","MPO.AMON","Contenu en ammoniac de l'eau de mer.  unités: 'mmol/m**3'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","AMON",NULL,0,3,3,0
2103,"MPO.URE_","MPO.URE_","URE_","MPO.URE_","MPO.URE_","Contenu en urée de l'eau de mer.  unités: 'mmol/m**3'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","URE_",NULL,0,3,3,0
2104,"MPO.IDEN","MPO.IDEN","IDEN","MPO.IDEN","MPO.IDEN","Numéro unique d'échantillon",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","IDEN",NULL,0,3,0,0
2105,"MPO.NUM_","MPO.NUM_","NUM_","MPO.NUM_","MPO.NUM_","Nombre d'échantillon",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","NUM_",NULL,0,3,0,0
2106,"MPO.PHA_","MPO.PHA_","PHA_","MPO.PHA_","MPO.PHA_","Contenu en phaeopigment de l'eau de mer.  unités: 'mg/m**3'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","PHA_",NULL,0,3,3,0
2107,"MPO.SDEV","MPO.SDEV","SDEV","MPO.SDEV","MPO.SDEV","Déviation standard d'une donnée",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","SDEV",NULL,0,3,0,0
2108,"MPO.SECC","MPO.SECC","SECC","MPO.SECC","MPO.SECC","Profondeur Secchi  Unité: 'm'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","SECC",NULL,0,3,0,0
2112,"MPO.FFFF","MPO.FFFF","FFFF","MPO.FFFF","MPO.FFFF","Sémaphore de contrôle de qualité.  Unités: ' '",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","FFFF",NULL,0,3,0,0
2132,"MPO.HCDT","MPO.HCDT","HCDT","MPO.HCDT","MPO.HCDT","Direction du courant dans le plan horizontal (nord vrai)  unité: 'degré'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","HCDT",NULL,0,3,3,0
2133,"MPO.HCSP","MPO.HCSP","HCSP","MPO.HCSP","MPO.HCSP","Vitesse du courant dans le plan horizontal  unité: 'm/s'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","HCSP",NULL,0,3,3,0
2134,"MPO.EWCT","MPO.EWCT","EWCT","MPO.EWCT","MPO.EWCT","Composante Est du courant (nord vrai)  unité: 'm/s'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","EWCT",NULL,0,3,3,0
2135,"MPO.NSCT","MPO.NSCT","NSCT","MPO.NSCT","MPO.NSCT","Composante Nord du courant (nord vrai)  unité: 'm/s'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","NSCT",NULL,0,3,3,0
2152,"MPO.LATD","MPO.LATD","LATD","MPO.LATD","MPO.LATD","Latitude (positive nord) d'un échantillon.  unités: 'degrés'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","LATD",NULL,0,3,0,0
2153,"MPO.LOND","MPO.LOND","LOND","MPO.LOND","MPO.LOND","Longitude (positive est) d'un échantillon.  unités: 'degrés'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","LOND",NULL,0,3,0,0
2172,"MPO.EWCM","MPO.EWCM","EWCM","MPO.EWCM","MPO.EWCM","Composante Est du courant (nordmagnétique)  unité: 'm/s'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","EWCM",NULL,0,3,3,0
2173,"MPO.NSCM","MPO.NSCM","NSCM","MPO.NSCM","MPO.NSCM","Composante Nord du courant (nord magnétique)  unité: 'm/s'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","NSCM",NULL,0,3,3,0
2174,"MPO.HCDM","MPO.HCDM","HCDM","MPO.HCDM","MPO.HCDM","Direction du courant dans le plan horizontal (nord magnétique)  unité: 'degré'",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","HCDM",NULL,0,3,3,0
2192,"NUL.CICERO","NUL.CICERO","CICERO","NUL.CICERO","NUL.CICERO","Relatif aux données amassées le long de la route du navire Cicero",-1,NULL,NULL,NULL,1,NULL,NULL,"NUL","CICERO",NULL,0,0,0,0
2193,"NUL.NORDIK_EXPRESS","NUL.NORDIK_EXPRESS","NORDIK_EXPRESS","NUL.NORDIK_EXPRESS","NUL.NORDIK_EXPRESS","Relatif aux données amassées le long de la route du navire Nordik Express",-1,NULL,NULL,NULL,1,NULL,NULL,"NUL","NORDIK_EXPRESS",NULL,0,0,0,0
2212,"MPO.PIM_","MPO.PIM_","PIM_","MPO.PIM_","MPO.PIM_","Particulate Inorganic Matter",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","PIM_",NULL,0,3,3,0
2215,"MPO.TSM_","MPO.TSM_","TSM_","MPO.TSM_","MPO.TSM_","total suspended matter",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","TSM_",NULL,0,3,3,0
2216,"MPO.POM_","MPO.POM_","POM_","MPO.POM_","MPO.POM_","Particulate Organic Matter",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","POM_",NULL,0,3,3,0
