ios_name,accepted_units,equivalent_to,apply_func,datatype,long_name,standard_name,units,scale,sdn_parameter_urn,sdn_parameter_name,sdn_uom_urn,sdn_uom_name,rename,need_review,file,ios_type,file_extension
fluorescence:uru:wetlabs,mg\/m\^3,,,float32,Sea Water Fluorescence WetLabs,mass_concentration_of_chlorophyll_a_in_sea_water,mg/m^3,,SDN:P01::CPHLPR01,,,,,,,,
fluorescence:uru:wetlabs:eco-afl,mg\/m\^3,,,float32,Fluorescence URU Wetlabs ECO-AFL,mass_concentration_of_chlorophyll_a_in_sea_water,mg/m^3,,SDN:P01::CPHLPR01,,,,,,4.0,F,{'CTD'}
fluorescence:wetlabs:eco-afl,mg\/m\^3,,,float32,Fluorescence Wetlabs ECO-AFL,mass_concentration_of_chlorophyll_a_in_sea_water,mg/m^3,,SDN:P01::CPHLPR01,,,,,,38.0,F,{'CTD'}
fluorescence_cdom:uru:wetlabs,mg\/m\^3,,,float32,Fluorescence CDOM URU Wetlabs,,mg/m^3,,SDN:P01::CCOMD002,,,,,,206.0,F,"{'CTD', 'CHE'}"
fluorescence_cdom:uru:wetlabs,volts,,,float32,Fluorescence CDOM URU Wetlabs,,volts,,SDN:P01::NVLTWL01,,,,,,42.0,F,{'CHE'}
fluorescensce:uru:turner,mg\/m\^3,,,float32,Fluorescensce URU Turner,mass_concentration_of_chlorophyll_a_in_sea_water,mg/m^3,,SDN:P01::CPHLPR01,,,,,,2.0,F8.3,{'CHE'}
fluorometry-chlorophyll,,,,float32,Fluorometry-Chlorophyll,,,,,,,,,,1.0,e,{'CTD'}
heading,,,,float32,platform_orientation,degrees,,,,,,,HEADCM01,,,,
hplc:allo,mg\/m\^3,,,float32,HPLC Allo,,mg/m^3,,SDN:P01::ALLOMHP1,,,,,,532.0,F,{'CHE'}
hplc:b-car,mg\/m\^3,,,float32,HPLC B-Car,,mg/m^3,,SDN:P01::BBCAMHP1,,,,,,532.0,F,{'CHE'}
