Vocabulary,name,Users,MEDS:STATUS,MEDS:CATEGORY_MEANING_E,MEDS:CATEGORY_MEANING_F,MEDS:UNITS_DESCRIPTOR_E,MEDS:UNITS_DESCRIPTOR_F,MEDS:CF_CODE,MEDS:NETCDF_LONG_NAME,MEDS:WMO_CODE_TABLE_ID,MEDS:CONVENTION,BIO:units,BIO:P06 urn,BIO:P06 name,BIO:P01 urn,BIO:P01 name,BIO:CF_CODE,IML:definition,IML:units,long_name,expected_units,scale,standard_name,SDN:P07::id,SDN:P01::id,SDN:P01::urn,SDN:P01::prefLabel,sdn_parameter_urn,sdn_parameter_name,SDN:P06::id,SDN:P06::urn,SDN:P06::prefLabel,sdn_uom_urn,sdn_uom_name,definition,convention,scale_factor,GF3_name,Alternative units,SDN:P01::Alternative Name
GF3,AST1,MEDS,A,Wave,Vague,degree Celsius,degré Celsius,,,,,,,,,,,,,,degree Celsius,,,,,,,,,,,,,,,,,AST1,,
GF3,AST2,MEDS,A,Wave,Vague,degree Celsius,degré Celsius,,,,,,,,,,,,,,degree Celsius,,,,,,,,,,,,,,,,,AST2,,
GF3,ASTD,MEDS,A,Meteorology,Météorologie,degree Celsius,degré Celsius,,air_sea_temperature_difference,,,,,,,,,,,,degree Celsius,,,,,,,,,,,,,,,,,ASTD,,
GF3,ATBE,MEDS,A,Biology,Biologie,per metre,par mètre,,,,,,,,,,,,,,per metre,,,,,,,,,,,,,,,,,ATBE,,
GF3,ATCK,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,angle_of_attack_aircraft,,,,,,,,,,,,degree,,,,,,,,,,,,,,,,,ATCK,,
GF3,ATMP,"BIO,MEDS",,,,,,,,,,hPa,HPAX,hectopascal,,,air_pressure,,,,hPa,,air_pressure,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0015/,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/HPAX/,HPAX,Hectopascals,SDN:P06::HPAX,Hectopascals,,,,ATMP,,
GF3,ATMS,"BIO,IML,MEDS",A,Meteorology,Météorologie,hectopascal,hectopascal,,,,,hPa,HPAX,hectopascal,,,air_pressure_at_mean_sea_level,,,,hectopascal|hPa,,air_pressure_at_mean_sea_level,http://vocab.nerc.ac.uk/collection/P07/current/Q9ZYSAOC/,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/HPAX/,HPAX,Hectopascals,SDN:P06::HPAX,Hectopascals,,,,ATMS,,
GF3,ATP$,MEDS,A,Chemistry,Chimie,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,milligram per metre cube,,,,,,,,,,,,,,,,,ATP$,,
GF3,ATPT,MEDS,A,Meteorology,Météorologie,hectopascal per hour,hectopascal par heure,tendency_of_air_pressure,,,,,,,,,,,,,hectopascal per hour,,tendency_of_air_pressure,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0201/,,,,,,,,,,,,,,ATPT,,
GF3,ATP_,"BIO,IML",,,,,,,,,,mg/ m^3,,,ATPXZZDZ,Concentration of adenosine triphosphate {ATP CAS 56-65-5} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],,,,,mg/ m^3,,,,http://vocab.nerc.ac.uk/collection/P01/current/ATPXZZDZ/,ATPXZZDZ,Concentration of adenosine triphosphate {ATP CAS 56-65-5} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],SDN:P01::ATPXZZDZ,Concentration of adenosine triphosphate {ATP CAS 56-65-5} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],,,,,,Concentration of adenosine triphosphate {ATP CAS 56-65-5} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],,,ATP_,,
GF3,ATRK,"BIO,IML,MEDS",A,Position and navigation,Position et navigation,metre,mètre,,,,,,,,,,,,,,metre,,,,,,,,,,,,,,,,,ATRK,,
GF3,ATRK,BIO,,,,,,,,,,metres,ULAA,metres,,,,,,,metre,,,,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,ULAA,Metres,SDN:P06::ULAA,Metres,,,,ATRK,,
GF3,ATTE,MEDS,A,Geophysics,Géophysique,per metre,par mètre,,light_attenuation,,,,,,,,,,,,per metre,,,,,,,,,,,,,,,,,ATTE,,
GF3,ATTU,"BIO,IML",A,Instrument characteristics,Caractéristiques de l'instrument,per metre,par mètre,,,,,/m,NOPM,number per metre,ATTNXXZZ,Attenuation (unspecified wavelength) per unit length of the water body,,,,,/m|per metre,,,,http://vocab.nerc.ac.uk/collection/P01/current/ATTNXXZZ/,ATTNXXZZ,Attenuation (unspecified wavelength) per unit length of the water body,SDN:P01::ATTNXXZZ,Attenuation (unspecified wavelength) per unit length of the water body,http://vocab.nerc.ac.uk/collection/P06/current/NOPM/,NOPM,Number per metre,SDN:P06::NOPM,Number per metre,Attenuation (unspecified wavelength) per unit length of the water body,,,ATTU,,
GF3,AUTH,"IML,MEDS",A,Biota composition,Composition du biote,text,texte,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,AUTH,,
GF3,AVP$,MEDS,A,Physical Oceanography,Océanographie physique,decibar,decibar,,pressure_average_of_drifting_platform,,,,,,,,,,,,decibar,,,,,,,,,,,,,,,,,AVP$,,
GF3,AVT$,MEDS,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,temperature_average_at_depth,,,,,,,,,,,,degree Celsius,,,,,,,,,,,,,,,,,AVT$,,
