OWNER,GF3_CODE,MEDS:index,MEDS:GF3_CODE,MEDS:OWNER,MEDS:STATUS,MEDS:CATEGORY_MEANING_E,MEDS:CATEGORY_MEANING_F,MEDS:UNITS_DESCRIPTOR_E,MEDS:UNITS_DESCRIPTOR_F,MEDS:CF_CODE,MEDS:NETCDF_LONG_NAME,MEDS:WMO_CODE_TABLE_ID,MEDS:CONVENTION,BIO:P01 urn,BIO:P01 name,BIO:P06 name,BIO:OWNER,BIO:CF_CODE,BIO:P06 urn,BIO:GF3_CODE,BIO:units,CF_CODE,NERC:P07 id,NERC:P01 id,NERC:P01 urn
MEDS,DOX$,331.0,DOX$,MEDS,A,Biological Oceanography,Océanographie biologique,millilitre per litre,millilitre par litre,,,,,,,,,,,,,,,,
MEDS,DOXY,336.0,DOXY,MEDS,A,Physical Oceanography,Océanographie physique,millimole per metre cube,millimole par mètre cube,mole_concentration_of_dissolved_molecular_oxygen_in_sea_wate,mole_concentration_of_dissolved_molecular_oxygen_in_wate,,,,,,,,,,,,,,
MEDS,DPDT,341.0,DPDT,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,metre per second,mètre par seconde,,lowering_rate_of_instrument,,,,,metres per second,BIO,,UVAA,DPDT,metres/ second,,,,
MEDS,DPI$,342.0,DPI$,MEDS,A,General purpose,Tout usage,text,texte,,name_of_person_deploying_instrument,,,,,,,,,,,,,,
MEDS,DPO$,343.0,DPO$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,date_of_phosphate_analysis_yyyymmdd,,,,,,,,,,,,,,
MEDS,DPP$,344.0,DPP$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,,,,,,,,,,,,,,,
MEDS,DPS$,345.0,DPS$,MEDS,A,Time and frequency,Temps et fréquence,hour,heure,,,,,,,,,,,,,,,,
MEDS,DPSF,347.0,DPSF,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,depth_below_sea_floor,,,,,,,,,,,,,,
MEDS,DPT$,348.0,DPT$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,,,,,,,,,,,,,
MEDS,DRD$,349.0,DRD$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,date_when_drogue_was_lost_hhmm,,,,,,,,,,,,,,
MEDS,DRDP,352.0,DRDP,MEDS,A,Physical Oceanography,Océanographie physique,metre,mètre,,depth_of_drogue,,,,,metres,BIO,,ULAA,DRDP,metres,,,,
MEDS,DRHR,354.0,DRHR,MEDS,A,Time and frequency,Temps et fréquence,hour,heure,,duration,,,,,,,,,,,,,,
MEDS,DRMN,356.0,DRMN,MEDS,A,Time and frequency,Temps et fréquence,minute(time),minute(durée),,duration,,,,,,,,,,,,,,
MEDS,DRSC,357.0,DRSC,MEDS,A,Time and frequency,Temps et fréquence,second,seconde,,duration,,,,,,,,,,,,,,
MEDS,DRT$,358.0,DRT$,MEDS,A,General purpose,Tout usage,code table,table de code,,code_of_drogue_type,,,,,,,,,,,,,,
MEDS,DRYT,361.0,DRYT,MEDS,A,Meteorology,Météorologie,degree Celsius,degré Celsius,air_temperature,,,,CDTASS01,Temperature of the atmosphere by dry bulb thermometer,degrees Celsius,BIO,,UPAA,DRYT,degrees celsuis,air_temperature,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0023/,http://vocab.nerc.ac.uk/collection/P01/current/CDTASS01/,CDTASS01
MEDS,DSI$,363.0,DSI$,MEDS,A,General purpose,Tout usage,text,texte,,indicator_of_data_state,,,,,,,,,,,,,,
MEDS,DSO$,364.0,DSO$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,date_of_silicate_analysis_yyyymmdd,,,,,,,,,,,,,,
MEDS,DSP1,365.0,DSP1,MEDS,A,Wave,Vague,number,nombre,,date_at_end_of_tow_yyyymmdd,,,,,,,,,,,,,,
MEDS,DSP2,366.0,DSP2,MEDS,A,Wave,Vague,number,nombre,,,,,,,,,,,,,,,,
MEDS,DT2$,367.0,DT2$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,,,,,,,,,,,,,
MEDS,DTC$,369.0,DTC$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,date_calibration_yyyymmdd,,,,,,,,,,,,,,
MEDS,DTDZ,370.0,DTDZ,MEDS,A,Meteorology,Météorologie,degree Celsius per metre,degré Celsius par mètre,,air_temperature_vertical_gradient,,,,,,,,,,,,,,
MEDS,DTE$,371.0,DTE$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,,,,,,,,,,,,,
MEDS,DTH$,373.0,DTH$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,,,,,,,,,,,,,
MEDS,DTL$,374.0,DTL$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,,,,,,,,,,,,,
MEDS,EAG1,385.0,EAG1,MEDS,A,General purpose,Tout usage,text,texte,,name_of_exchange_agency,,,,,,,,,,,,,,
MEDS,EAZM,386.0,EAZM,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,,,,,,,,,,,,,,,
MEDS,EDAT,387.0,EDAT,MEDS,A,Chemistry,Chimie,minute(time),minute(durée),,duration_of_cast_minutes,,,,,,,,,,,,,,
MEDS,EEEE,388.0,EEEE,MEDS,A,General purpose,Tout usage,number,nombre,,decimal_exponent,,,,,,,,,,,,,,
MEDS,EIT$,389.0,EIT$,MEDS,A,Physical Oceanography,Océanographie physique,text,texte,,engine_intake_water_sample,,,,,,,,,,,,,,
MEDS,ELA$,390.0,ELA$,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,latitude_error,,,,,,,,,,,,,,
MEDS,ELAT,391.0,ELAT,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,latitude_end_of_cast,,,,,,,,,,,,,,
MEDS,ELEV,392.0,ELEV,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,angle_of_elevation_of_object_from_reference_point,,,,,,,,,,,,,,
MEDS,ELO$,393.0,ELO$,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,longitude_error,,,,,,,,,,,,,,
MEDS,ELON,394.0,ELON,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,longitude_end_of_cast,,,,,,,,,,,,,,
MEDS,EMAJ,395.0,EMAJ,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,,,,,,,,,,,,,,,
MEDS,EMIN,396.0,EMIN,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,,,,,,,,,,,,,,,
MEDS,ERS$,399.0,ERS$,MEDS,A,Wave,Vague,percent,pourcentage,,,,,,,,,,,,,,,,
MEDS,EST$,400.0,EST$,MEDS,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,sea_surface_temperature_error,,,,,,,,,,,,,,
MEDS,ETHR,401.0,ETHR,MEDS,A,Time and frequency,Temps et fréquence,hour,heure,,,,,,,,,,,,,,,,
MEDS,ETMN,402.0,ETMN,MEDS,A,Time and frequency,Temps et fréquence,minute(time),minute(durée),,,,,,,,,,,,,,,,
MEDS,ETSC,403.0,ETSC,MEDS,A,Time and frequency,Temps et fréquence,second,seconde,,,,,,,,,,,,,,,,
MEDS,EWCM,406.0,EWCM,MEDS,A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,eastward_water_velocity_magnetic,,,,,metres per second,BIO,eastward_sea_water_velocity,UVAA,EWCM,m/s,eastward_sea_water_velocity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0650/,,
MEDS,EWCT,409.0,EWCT,MEDS,A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,eastward_water_velocity_true,,,LCEWZZ01,Eastward current velocity in the water body,metres per second,BIO,eastward_sea_water_velocity,UVAA,EWCT,m/s,eastward_sea_water_velocity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0650/,http://vocab.nerc.ac.uk/collection/P01/current/LCEWZZ01/,LCEWZZ01
MEDS,EXP$,410.0,EXP$,MEDS,A,General purpose,Tout usage,text,texte,,numer_of_experiment_by_originator,,,,,,,,,,,,,,
MEDS,F11$,413.0,F11$,MEDS,A,Chemistry,Chimie,picomole per kilogram,picomole par kilogramme,,mole_concentration_of_CFC11,,,,,,,,,,,,,,
MEDS,F12$,415.0,F12$,MEDS,A,Chemistry,Chimie,picomole per kilogram,picomole par kilogramme,,mole_concentration_of_CFC12,,,,,,,,,,,,,,
MEDS,FD1$,417.0,FD1$,MEDS,A,Chemistry,Chimie,unknown,inconnu,,,,,,,,,,,,,,,,
MEDS,FD2$,418.0,FD2$,MEDS,A,Chemistry,Chimie,unknown,inconnu,,,,,,,,,,,,,,,,
MEDS,FDO$,419.0,FDO$,MEDS,A,Chemistry,Chimie,unknown,inconnu,,,,,,,,,,,,,,,,
MEDS,FDT$,420.0,FDT$,MEDS,A,Chemistry,Chimie,unknown,inconnu,,,,,,,,,,,,,,,,
MEDS,FFFF,423.0,FFFF,MEDS,A,General purpose,Tout usage,code table,table de code,,flag_quality_control,,,,,,BIO,,,FFFF,code,,,,
MEDS,FIXF,424.0,FIXF,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,flag_prime_nagivation_aid,,,,,,,,,,,,,,
MEDS,FLO1,426.0,FLO1,MEDS,A,Chemistry,Chimie,milligram per litre,milligramme par litre,,mass_concentration_of_fluoride_in_water,,,,,,,,,,,,,,
MEDS,FLU$,430.0,FLU$,MEDS,A,Chemistry,Chimie,percent,pourcentage,,fluorescence_in_water_as_percent,,,,,,,,,,,,,,
MEDS,FLU1,431.0,FLU1,MEDS,A,Chemistry,Chimie,milligram per metre cube,milligramme par mètre cube,mass_concentration_of_chlorophyll_in_sea_water ,mass_concentration_of_chlorophyll_a_in_water_by_fluorometer,,,,,,,,,,,,,,
MEDS,FLU2,433.0,FLU2,MEDS,A,Chemistry,Chimie,volt,volt,,fluorescence_in_water_measured_in_volts,,,,,,,,,,,,,,
MEDS,FLUD,435.0,FLUD,MEDS,A,Chemistry,Chimie,milligram per metre cube,milligramme par mètre cube,,fluorescence_of_carbon_dissolved_organic_matter_in_water,,,,,,,,,,,,,,
MEDS,FM1$,437.0,FM1$,MEDS,A,Chemistry,Chimie,unknown,inconnu,,,,,,,,,,,,,,,,
MEDS,FM2$,438.0,FM2$,MEDS,A,Chemistry,Chimie,unknown,inconnu,,,,,,,,,,,,,,,,
MEDS,FMO$,439.0,FMO$,MEDS,A,Chemistry,Chimie,unknown,inconnu,,,,,,,,,,,,,,,,
MEDS,FMT$,440.0,FMT$,MEDS,A,Chemistry,Chimie,unknown,inconnu,,,,,,,,,,,,,,,,
MEDS,FRE$,442.0,FRE$,MEDS,I,Special IGOSS Indicator,Indicateur spécial IGOSS,code table,table de code,,equation_fall_rate,,,,,,,,,,,,,,
MEDS,FREQ,444.0,FREQ,MEDS,A,Time and frequency,Temps et fréquence,hertz,hertz,wave_frequency,,,,,,,,,,,,wave_frequency,http://vocab.nerc.ac.uk/collection/P07/current/CFV8NS6/,,
MEDS,FRQ1,446.0,FRQ1,MEDS,A,Wave,Vague,hertz,hertz,,,,,,,,,,,,,,,,
MEDS,FRQ2,447.0,FRQ2,MEDS,A,Wave,Vague,hertz,hertz,,,,,,,,,,,,,,,,
MEDS,GBGA,456.0,GBGA,MEDS,A,Geophysics,Géophysique,milligal,milligal,,Bouger_gravity_anomaly,,,,,,,,,,,,,,
MEDS,GCO#,458.0,GCO#,MEDS,A,General purpose,Tout usage,text,texte,,cruise_number_originator_NODC,,,,,,,,,,,,,,
MEDS,GDIR,461.0,GDIR,MEDS,A,Meteorology,Météorologie,degree(angle),degré(angle),,gust_wind_direction_from_true_north,,,EGTDZZ01,Direction from of wind (gust) relative to True North {wind direction} in the atmosphere,degrees,BIO,wind_gust_from_direction,UAAA,GDIR,degrees,wind_gust_from_direction,http://vocab.nerc.ac.uk/collection/P07/current/LIZMDSCX/,http://vocab.nerc.ac.uk/collection/P01/current/EGTDZZ01/,EGTDZZ01
MEDS,GE1$,462.0,GE1$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,code table,table de code,,,,,,,,,,,,,,,,
MEDS,GE2$,464.0,GE2$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,code table,table de code,,,,,,,,,,,,,,,,
MEDS,GE3$,466.0,GE3$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,code table,table de code,,,,,,,,,,,,,,,,
MEDS,GEOT,469.0,GEOT,MEDS,A,Geophysics,Géophysique,milligal,milligal,,geopotential,,,,,,,,,,,,,,
MEDS,GFAA,470.0,GFAA,MEDS,A,Geophysics,Géophysique,milligal,milligal,,gravity_anomaly_free_air,,,,,,,,,,,,,,
MEDS,GG1$,471.0,GG1$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,
MEDS,GG2$,473.0,GG2$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,
MEDS,GG3$,475.0,GG3$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,
MEDS,GGC$,477.0,GGC$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,
MEDS,GGCD,479.0,GGCD,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,period_of_current_measurement_or_drift,2265.0,,,,,,,,,,,,,
MEDS,GGCM,480.0,GGCM,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,indicator_method_of_current_measurement,2266.0,,,,,,,,,,,,,
MEDS,GGDI,482.0,GGDI,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,indicator_for_method_of_digitization,2262.0,,,,,,,,,,,,,
MEDS,GGEC,483.0,GGEC,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,duration_and_time_of_eulerian_current_measurement,2264.0,,,,,,,,,,,,,
MEDS,GGI$,484.0,GGI$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,
MEDS,GGIN,486.0,GGIN,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,indicator_BATHY_TESAC,,,,,,,,,,,,,,
MEDS,GGK6,487.0,GGK6,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,code table,table de code,,method_for_removing_ship_velocity,,,,,,,,,,,,,,
MEDS,GGLC,488.0,GGLC,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,quality_of_location,3311.0,,,,,,,,,,,,,
MEDS,GGMS,489.0,GGMS,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,identifier_of_message,,,,,,,,,,,,,,
MEDS,GGQF,490.0,GGQF,MEDS,A,General purpose,Tout usage,text,texte,,,,,,,,,,,,,,,,
MEDS,GGSL,491.0,GGSL,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,method_of_salinity/depth_measurement,2263.0,,,,,,,,,,,,,
MEDS,GGST,492.0,GGST,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,,1853.0,,,,,,,,,,,,,
MEDS,GGWI,494.0,GGWI,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,indicator_for_wind_speed,,,,,,,,,,,,,,
MEDS,GIN$,495.0,GIN$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,
MEDS,GNC#,496.0,GNC#,MEDS,A,General purpose,Tout usage,code table,table de code,,cruise_code_NODC,,,,,,,,,,,,,,
MEDS,GNCR,498.0,GNCR,MEDS,A,General purpose,Tout usage,text,texte,,,,,,,,,,,,,,,,
MEDS,GPA$,503.0,GPA$,MEDS,A,Physical Oceanography,Océanographie physique,dyne metre,dyne mètre,geopotential_height_anomaly,,,,,,,,,,,,geopotential_height_anomaly,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0629/,,
MEDS,GPT$,504.0,GPT$,MEDS,A,Meteorology,Météorologie,code table,table de code,,code_pressure_tendency,200.0,,,,,,,,,,,,,
MEDS,GRAV,505.0,GRAV,MEDS,A,Geophysics,Géophysique,milligal,milligal,,gravity_observed,,,,,,,,,,,,,,
MEDS,GSPD,508.0,GSPD,MEDS,A,Meteorology,Météorologie,metre per second,mètre par seconde,wind_speed_of_gust,,,,EGTSZZ01,Speed of wind (gust) {wind speed} in the atmosphere,metres per second,BIO,wind_speed_of_gust,UVAA,GSPD,m/s,wind_speed_of_gust,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0039/,http://vocab.nerc.ac.uk/collection/P01/current/EGTSZZ01/,EGTSZZ01
MEDS,H00$,509.0,H00$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,H15$,510.0,H15$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,H30$,511.0,H30$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,H45$,512.0,H45$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,H60$,513.0,H60$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,HAT$,514.0,HAT$,MEDS,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,temperature_of_water_from_high_accuracy_sensor,,,,,,,,,,,,,,
MEDS,HCDM,517.0,HCDM,MEDS,A,Physical Oceanography,Océanographie physique,degree(angle),degré(angle),,water_current_direction_to_magnetic_north,,,LCDAZZ01,Current direction in the water body,degrees,BIO,,UAAA,HCDM,degrees,,,http://vocab.nerc.ac.uk/collection/P01/current/LCDAZZ01/,LCDAZZ01
MEDS,HCDT,520.0,HCDT,MEDS,A,Physical Oceanography,Océanographie physique,degree(angle),degré(angle),,water_current_direction_to_true_north,,,,,degrees,BIO,,UAAA,HCDT,degrees,,,,
MEDS,HCSP,524.0,HCSP,MEDS,A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,water_current_speed,,,LCSAZZ01,Current speed (Eulerian) in the water body,metres per second,BIO,barotropic_sea_water_x_velocity,UVAA,HCSP,m/s,barotropic_sea_water_x_velocity,http://vocab.nerc.ac.uk/collection/P07/current/CF12N188/,http://vocab.nerc.ac.uk/collection/P01/current/LCSAZZ01/,LCSAZZ01
MEDS,HEAD,526.0,HEAD,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,heading_of_platform_to_true_north,,,,,,,,,,,,,,
MEDS,HGHT,533.0,HGHT,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,height_above_sea_surface,,,,,metres,BIO,height_above_mean_sea_level,ULAA,HGHT,metres,height_above_mean_sea_level,http://vocab.nerc.ac.uk/collection/P07/current/8BFOBHU2/,,
MEDS,HGR$,534.0,HGR$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,HHMM,535.0,HHMM,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,,,,,,,,,,,,,
MEDS,HIGF,537.0,HIGF,MEDS,A,Time and frequency,Temps et fréquence,hertz,hertz,,,,,,,,,,,,,,,,
MEDS,HIN$,538.0,HIN$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,HIS$,539.0,HIS$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,HL1$,540.0,HL1$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,HL2$,541.0,HL2$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,HM2$,542.0,HM2$,MEDS,A,Time and frequency,Temps et fréquence,text,texte,,,,,,,,,,,,,,,,
MEDS,HMN$,544.0,HMN$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,HMT$,545.0,HMT$,MEDS,A,Physical Oceanography,Océanographie physique,text,texte,,,,,,,,,,,,,,,,
MEDS,HMX$,546.0,HMX$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,HMXR,547.0,HMXR,MEDS,A,Meteorology,Météorologie,gram per kilogram,gramme par kilogramme,,humidity_mixing_ratio,,,,,,,,,,,,,,
MEDS,HOG$,548.0,HOG$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,HOH$,549.0,HOH$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,HOUR,550.0,HOUR,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,,,,,,,,,,,,,
MEDS,HPR$,552.0,HPR$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,HSC$,553.0,HSC$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,HSUL,556.0,HSUL,MEDS,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,mole_concentration_of_hydrogen_sulphide,,,H2SXZZXX,Concentration of hydrogen sulphide {H2S CAS 7783-06-4} per unit volume of the water body [dissolved plus reactive particulate phase],millimoles per cubic metre,BIO,,MMCM,HSUL,mmol/m^3,,,http://vocab.nerc.ac.uk/collection/P01/current/H2SXZZXX/,H2SXZZXX
MEDS,HTH$,557.0,HTH$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,HTL$,558.0,HTL$,MEDS,A,Physical Oceanography,Océanographie physique,metre,mètre,,height_of_xbt_launcher_above_water,,,,,,,,,,,,,,
MEDS,HTSF,560.0,HTSF,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,height_above_the_sea_floor,,,,,,,,,,,,,,
MEDS,HW1$,561.0,HW1$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,HW2$,562.0,HW2$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,HZY$,563.0,HZY$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,
MEDS,ICD$,565.0,ICD$,MEDS,A,General purpose,Tout usage,text,texte,,name_of_instrument,,,,,,,,,,,,,,
MEDS,ICEF,567.0,ICEF,MEDS,A,Physical Oceanography,Océanographie physique,code table,table de code,,flag_ice_in_hydrographic_observation_vicinity,,,,,,,,,,,,,,
MEDS,ICT$,569.0,ICT$,MEDS,A,Physical Oceanography,Océanographie physique,metre,mètre,sea_ice_thickness,,,,,,,,,,,,sea_ice_thickness,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0369/,,
MEDS,IN1$,573.0,IN1$,MEDS,I,Instrument characteristics,Caractéristiques de l'instrument,text,texte,,,,,,,,,,,,,,,,
MEDS,IN2$,574.0,IN2$,MEDS,I,Instrument characteristics,Caractéristiques de l'instrument,text,texte,,,,,,,,,,,,,,,,
MEDS,IND$,575.0,IND$,MEDS,A,General purpose,Tout usage,hour,heure,,,,,,,,,,,,,,,,
MEDS,INS1,576.0,INS1,MEDS,A,General purpose,Tout usage,text,texte,,name_of_institute,,,,,,,,,,,,,,
MEDS,INTP,579.0,INTP,MEDS,A,General purpose,Tout usage,code table,table de code,,,,,,,,,,,,,,,,
MEDS,INU$,581.0,INU$,MEDS,A,General purpose,Tout usage,hour,heure,,,,,,,,,,,,,,,,
MEDS,IRFB,582.0,IRFB,MEDS,A,Biology,Biologie,nanomole per litre,nanomole par litre,,,,,,,,,,,,,,,,
MEDS,IRUB,583.0,IRUB,MEDS,A,Biology,Biologie,nanomole per litre,nanomole par litre,,,,,,,,,,,,,,,,
MEDS,IST$,584.0,IST$,MEDS,A,General purpose,Tout usage,text,texte,,name_of_instrument,,,,,,,,,,,,,,
MEDS,JPT$,587.0,JPT$,MEDS,A,General purpose,Tout usage,code table,table de code,,code_jgofs_protocol_table,,,,,,,,,,,,,,
MEDS,KMEF,588.0,KMEF,MEDS,A,Other organic chemical measurements,Autres mesures chimiques organiques,part per million,partie par million,,,,,,,,,,,,,,,,
MEDS,LAT#,591.0,LAT#,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,latitude_originator_NODC,,,,,,,,,,,,,,
MEDS,LAT$,592.0,LAT$,MEDS,A,Position and navigation,Position et navigation,number,nombre,,,,,,,,,,,,,,,,
MEDS,LATA,594.0,LATA,MEDS,A,Position and navigation,Position et navigation,degree Celsius,degré Celsius,,latitude_reported_with_every_depth,,,,,,,,,,,,,,
MEDS,LATD,597.0,LATD,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,latitude,,,ALATZZ01,Latitude north,degrees,BIO,latitude,UAAA,LATD,degrees,latitude,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0600/,http://vocab.nerc.ac.uk/collection/P01/current/ALATZZ01/,ALATZZ01
MEDS,LATI,598.0,LATI,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,latitude_positive_north,,,,,,,,,,,,,,
MEDS,LATM,600.0,LATM,MEDS,A,Position and navigation,Position et navigation,minute(angle),minute(angle),,latitude_minutes_within_degree,,,,,,,,,,,,,,
MEDS,LBL1,602.0,LBL1,MEDS,A,Wave,Vague,second,seconde,,,,,,,,,,,,,,,,
MEDS,LCF$,603.0,LCF$,MEDS,A,Wave,Vague,hertz,hertz,,,,,,,,,,,,,,,,
MEDS,LINC,605.0,LINC,MEDS,A,Meteorology,Météorologie,watt per metre square,watt par mètre carré,,long_wave_radiation_incoming,,,,,,,,,,,,,,
MEDS,LN2$,606.0,LN2$,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,,,,,,,,,,,,,,,
MEDS,LNG$,609.0,LNG$,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,longitude_from_GPS,,,,,,,,,,,,,,
MEDS,LON#,611.0,LON#,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,longitude_originator_NODC,,,,,,,,,,,,,,
MEDS,LON$,612.0,LON$,MEDS,A,Position and navigation,Position et navigation,number,nombre,,,,,,,,,,,,,,,,
MEDS,LONA,614.0,LONA,MEDS,A,Position and navigation,Position et navigation,degree Celsius,degré Celsius,,longitude_reported_with_every_depth,,,,,,,,,,,,,,
MEDS,LOND,617.0,LOND,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,longitude,,,ALONZZ01,Longitude east,degrees,BIO,longitude,UAAA,LOND,degrees,longitude,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0554/,http://vocab.nerc.ac.uk/collection/P01/current/ALONZZ01/,ALONZZ01
MEDS,LONG,618.0,LONG,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,longitude_positive_west,,,,,,,,,,,,,,
MEDS,LONM,620.0,LONM,MEDS,A,Position and navigation,Position et navigation,minute(angle),minute(angle),,longitude_minutes_within_degree,,,,,,,,,,,,,,
MEDS,LOUT,622.0,LOUT,MEDS,A,Meteorology,Météorologie,watt per metre square,watt par mètre carré,,long_wave_radiation_outgoing,,,,,,,,,,,,,,
MEDS,LOWF,623.0,LOWF,MEDS,A,Time and frequency,Temps et fréquence,hertz,hertz,,,,,,,,,,,,,,,,
MEDS,LT2$,624.0,LT2$,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,,,,,,,,,,,,,,,
MEDS,LTG$,626.0,LTG$,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,latitude_from_GPS,,,,,,,,,,,,,,
MEDS,LVLS,628.0,LVLS,MEDS,A,Physical Oceanography,Océanographie physique,code table,table de code,,code_of_xbt_launcher_tube,,,,,,,,,,,,,,
