Vocabulary,name,Users,accepted_units,accepted_scale,accepted_instruments,calibration_review,apply_function,variable_name,long_name,units,instrument,scale,standard_name,sdn_parameter_urn,sdn_parameter_name,sdn_uom_urn,sdn_uom_name,definition,convention,GF3_name,SDN:P01::Alternative Name
GF3,AVP$,MEDS,decibar,,,,,,,decibar,,,,,,SDN:P06::UPDB,Decibars,,,AVP$,
GF3,AVT$,MEDS,degree Celsius,,,,,,,degree Celsius,,,,,,SDN:P06::UPAA,Degrees Celsius,,,AVT$,
GF3,B12$,MEDS,nanogram per litre,,,,,,,nanogram per litre,,,,,,SDN:P06::UNGL,Nanograms per litre,,,B12$,
GF3,B14$,MEDS,volt,,,,,,,volt,,,,,,SDN:P06::UVLT,Volts,,,B14$,
GF3,BAC$,MEDS,million per litre,,,,,,,million per litre,,,,,,,,,,BAC$,
GF3,BAC_,"BIO,MEDS",10^6/L,,,,,TBCCXXXX,,10^6/L,,,,SDN:P01::TBCCXXXX,Abundance of bacteria (ITIS: 202421: WoRMS 6) per unit volume of the water body,,,Abundance of bacteria (ITIS: 202421: WoRMS 6) per unit volume of the water body,,BAC_,Abund_BE000540
GF3,BAND,MEDS,hertz,,,,,,,hertz,,,,,,SDN:P06::UTHZ,Hertz,,,BAND,
GF3,BATH,"BIO,IML,MEDS",metre,,,,,BATHDPTH,,metre,,,,SDN:P01::BATHDPTH,Sea-floor depth (below mean sea level) {bathymetric depth},SDN:P06::ULAA,Metres,Sea-floor depth (below mean sea level) {bathymetric depth},,BATH,BathyDepth_MSL
GF3,BATT,"BIO,IML",volt|volts,,,,,,,volt,,,,,,SDN:P06::UVLT,Volts,,,BATT,
GF3,BBC$,MEDS,milliampere,,,,,,,milliampere,,,,,,SDN:P06::UMAM,Milliamps,,,BBC$,
GF3,BBCA,BIO,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,BBCA,
GF3,BBV$,MEDS,volt,,,,,,,volt,,,,,,SDN:P06::UVLT,Volts,,,BBV$,
GF3,BCI$,MEDS,,,,,,,,,,,,,,,,,,BCI$,
GF3,BCN$,MEDS,milliampere,,,,,,,milliampere,,,,,,SDN:P06::UMAM,Milliamps,,,BCN$,
GF3,BCNT,MEDS,,,,,,,,,,,,,,,,Number of bugs in extracted sub-sample.,,BCNT,
GF3,BDIR,MEDS,degree,,,,,,,degree,,,,,,SDN:P06::UAAA,Degrees,,,BDIR,
GF3,BEAM,"BIO,IML,MEDS",count|counts,,,,,,,count,,,,,,SDN:P06::UCNT,Counts,,,BEAM,
GF3,BECA,BIO,milligram per metre cube,,,,,,,milligram per metre cube,,,,,,,,,,BECA,
GF3,BEST,MEDS,hertz,,,,,,,hertz,,,,,,SDN:P06::UTHZ,Hertz,,,BEST,
GF3,BIOV,"BIO,MEDS",Ml,,,,,CVOLUKNB,,Ml,,,,SDN:P01::CVOLUKNB,Biovolume of biological entity specified elsewhere per unit volume of the water body,SDN:P06::VVML,Millilitres,Biovolume of biological entity specified elsewhere per unit volume of the water body,,BIOV,Biovol_BE007117
GF3,BKT$,MEDS,,,,,,,,,,,,,,,,,,BKT$,
GF3,BNO7,"BIO,MEDS",,,,,,,,,,,,,,,,,,BNO7,
GF3,BNUM,MEDS,,,,,,,,,,,,,,,,Sequential number to track individual bugs.,,BNUM,
GF3,BOTN,MEDS,,,,,,,,,,,,,,,,,,BOTN,
GF3,BPH$,MEDS,degree,,,,,,,degree,,,,,,SDN:P06::UAAA,Degrees,,,BPH$,
GF3,BPP$,MEDS,,,,,,,,,,,,,,,,,,BPP$,
